1.502037048339843750e-05,-4.303369071711209831e-02,1.128332018852233887e+00,9.699815511703491211e-01,4.774525165557861328e+00
6.229376792907714844e-02,-4.463246560443514394e-02,1.123977303504943848e+00,9.658390283584594727e-01,4.777242541313171387e+00
1.238193511962890625e-01,-4.116845334856853583e-02,1.122123599052429199e+00,9.636062383651733398e-01,4.779183268547058105e+00
1.858434677124023438e-01,-4.143491582978904575e-02,1.120625734329223633e+00,9.622776508331298828e-01,4.781221151351928711e+00
2.474467754364013672e-01,-4.143491582978904575e-02,1.119691729545593262e+00,9.619659185409545898e-01,4.783133268356323242e+00
3.089709281921386719e-01,-3.783767233331218616e-02,1.120115518569946289e+00,9.605389833450317383e-01,4.784677028656005859e+00
3.705227375030517578e-01,-4.143491582978904575e-02,1.119901537895202637e+00,9.609156847000122070e-01,4.785103201866149902e+00
4.320418834686279297e-01,-3.783767233331218616e-02,1.119355559349060059e+00,9.597003459930419922e-01,4.784525632858276367e+00
4.937334060668945312e-01,-3.850382853636345054e-02,1.119722723960876465e+00,9.625780582427978516e-01,4.783771634101867676e+00
5.553569793701171875e-01,-3.863705977697370897e-02,1.119862198829650879e+00,9.668976068496704102e-01,4.782884716987609863e+00
6.168935298919677734e-01,-3.956967846124549021e-02,1.119291782379150391e+00,9.671807289123535156e-01,4.782637953758239746e+00
6.785087585449218750e-01,-3.690505364904039798e-02,1.119245290756225586e+00,9.662902355194091797e-01,4.782314896583557129e+00
7.400603294372558594e-01,-3.583920372415837219e-02,1.119928359985351562e+00,9.669578075408935547e-01,4.780890941619873047e+00
8.016414642333984375e-01,-3.690505364904039798e-02,1.119275689125061035e+00,9.700727462768554688e-01,4.778810143470764160e+00
8.631570339202880859e-01,-3.610566620537887517e-02,1.119069457054138184e+00,9.710925817489624023e-01,4.780280590057373047e+00
9.256401062011718750e-01,-3.690505364904039798e-02,1.119666099548339844e+00,9.677845239639282227e-01,4.781710505485534668e+00
